('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         987903 function calls (956677 primitive calls) in 1.947 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      267    0.000    0.000    0.000    0.000 dataclasses.py:378(<genexpr>)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      263    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  263/262    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    263/4    0.001    0.000    0.201    0.050 <frozen importlib._bootstrap>:663(_load_unlocked)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      243    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      239    0.000    0.000    0.000    0.000 typing.py:629(<genexpr>)
      237    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
  237/236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      235    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      235    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      235    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    235/4    0.000    0.000    0.201    0.050 <frozen importlib._bootstrap_external>:722(exec_module)
      235    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      235    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      235    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      217    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
  209/171    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      196    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      192    0.000    0.000    0.000    0.000 element.py:292(<listcomp>)
      192    0.000    0.000    0.001    0.000 element.py:273(get_text)
      191    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      191    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      191    0.000    0.000    0.026    0.000 sre_compile.py:598(_code)
      191    0.001    0.000    0.072    0.000 sre_compile.py:759(compile)
      191    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      191    0.000    0.000    0.044    0.000 sre_parse.py:913(parse)
      191    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:361(__init__)
      187    0.000    0.000    0.000    0.000 typing_extensions.py:181(_collect_type_vars)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
  180/128    0.000    0.000    0.004    0.000 typing.py:340(__getitem__)
      177    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      177    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      167    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      163    0.000    0.000    0.000    0.000 enum.py:628(value)
      154    0.000    0.000    0.002    0.000 typing.py:633(copy_with)
      138    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      137    0.000    0.000    0.000    0.000 typing.py:176(<listcomp>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      136    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:372(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:388(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:398(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:204(__init__)
      135    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      134    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      134    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      134    0.000    0.000    0.000    0.000 typing_extensions.py:198(<listcomp>)
      128    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
      128    0.000    0.000    0.000    0.000 _models.py:91(encoding)
      122    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      122    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      122    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      120    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      120    0.000    0.000    0.001    0.000 typing.py:744(__getitem__)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      118    0.000    0.000    0.001    0.000 _markupbase.py:168(parse_comment)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      116    0.000    0.000    0.000    0.000 os.py:756(decode)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      114    0.000    0.000    0.000    0.000 _models.py:26(enforce_bytes)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      111    0.000    0.000    0.000    0.000 typing.py:772(<genexpr>)
      110    0.000    0.000    0.000    0.000 enum.py:623(name)
  108/107    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      108    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      108    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      100    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
      100    0.000    0.000    0.002    0.000 typing.py:621(__getitem__)
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       98    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       90    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       88    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       86    0.000    0.000    0.000    0.000 re.py:252(escape)
       84    0.000    0.000    0.000    0.000 css_parser.py:808(parse_combinator)
       84    0.000    0.000    0.005    0.000 dataclasses.py:364(_create_fn)
       82    0.000    0.000    0.000    0.000 dataclasses.py:584(_is_classvar)
       82    0.000    0.000    0.000    0.000 dataclasses.py:592(_is_initvar)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1168(_parse_octet)
       77    0.000    0.000    0.003    0.000 css_parser.py:475(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:268(__init__)
       77    0.000    0.000    0.000    0.000 dataclasses.py:739(_set_new_attribute)
       76    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       76    0.000    0.000    0.002    0.000 abc.py:125(__new__)
       75    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       74    0.000    0.000    0.000    0.000 dataclasses.py:598(_is_type)
       72    0.000    0.000    0.000    0.000 typing.py:827(<genexpr>)
    71/64    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       70    0.000    0.000    0.000    0.000 _utils.py:29(normalize_header_key)
       69    0.000    0.000    0.000    0.000 css_parser.py:545(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:252(__init__)
       69    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       68    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       67    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       66    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       63    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 enum.py:355(<genexpr>)
       63    0.000    0.000    0.000    0.000 typing_extensions.py:147(_check_generic)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
       62    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       62    0.000    0.000    0.000    0.000 os.py:752(encode)
       62    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       62    0.000    0.000    0.000    0.000 _status_codes.py:24(__new__)
